unique_work_number,amount_spent,vendor_name,payment_date,payment_status
W-1000,14593664.46,ABC Construction,2024-01-01,Success
W-1001,2739926.9,XYZ Builders,2024-01-01,Success
W-1007,7203023.13,ABC Construction,2024-01-01,Success
W-1009,2375913.93,MNO Contractors,2024-01-01,Success
W-1011,4850893.36,PQR Engineering,2024-01-01,Success
W-1012,7945944.88,PQR Engineering,2024-01-01,Success
W-1013,1618715.67,ABC Construction,2024-01-01,Success
W-1014,4865509.37,MNO Contractors,2024-01-01,Success
W-1017,20984412.45,ABC Construction,2024-01-01,Success
W-1021,8313670.56,MNO Contractors,2024-01-01,Success
W-1023,20054856.66,MNO Contractors,2024-01-01,Success
W-1024,7018337.65,MNO Contractors,2024-01-01,Success
W-1025,11820380.92,PQR Engineering,2024-01-01,Success
W-1026,17839564.43,MNO Contractors,2024-01-01,Success
W-1027,6799314.39,ABC Construction,2024-01-01,Success
W-1029,347092.57,XYZ Builders,2024-01-01,Success
W-1033,3799984.45,PQR Engineering,2024-01-01,Success
W-1034,190583.36,MNO Contractors,2024-01-01,Success
W-1036,15773745.13,ABC Construction,2024-01-01,Success
W-1038,23149495.42,PQR Engineering,2024-01-01,Success
W-1039,9616432.18,ABC Construction,2024-01-01,Success
W-1040,11121499.49,XYZ Builders,2024-01-01,Success
W-1044,14090194.93,ABC Construction,2024-01-01,Success
W-1045,1809117.05,XYZ Builders,2024-01-01,Success
W-1046,5486566.79,PQR Engineering,2024-01-01,Success
W-1048,4504305.4,ABC Construction,2024-01-01,Success
W-1049,3587053.51,PQR Engineering,2024-01-01,Success
W-1050,6800419.76,XYZ Builders,2024-01-01,Success
W-1053,8511934.48,MNO Contractors,2024-01-01,Success
W-1054,6469445.86,PQR Engineering,2024-01-01,Success
W-1055,6868992.32,XYZ Builders,2024-01-01,Success
W-1057,1890186.6,MNO Contractors,2024-01-01,Success
W-1064,19280695.35,ABC Construction,2024-01-01,Success
W-1065,15319466.24,PQR Engineering,2024-01-01,Success
W-1069,12737191.46,ABC Construction,2024-01-01,Success
W-1070,7703727.32,MNO Contractors,2024-01-01,Success
W-1072,798394.96,ABC Construction,2024-01-01,Success
W-1074,10708694.93,XYZ Builders,2024-01-01,Success
W-1076,2424028.34,ABC Construction,2024-01-01,Success
W-1077,7049301.02,XYZ Builders,2024-01-01,Success
W-1079,249858.5,ABC Construction,2024-01-01,Success
W-1080,9015592.47,PQR Engineering,2024-01-01,Success
W-1086,148982.08,MNO Contractors,2024-01-01,Success
W-1088,486029.86,PQR Engineering,2024-01-01,Success
W-1089,16593729.14,ABC Construction,2024-01-01,Success
W-1091,12788082.02,PQR Engineering,2024-01-01,Success
W-1092,10571365.18,MNO Contractors,2024-01-01,Success
W-1096,1079351.91,XYZ Builders,2024-01-01,Success
W-1098,12521302.33,PQR Engineering,2024-01-01,Success
W-1100,7008670.12,ABC Construction,2024-01-01,Success
W-1101,2442502.54,MNO Contractors,2024-01-01,Success
W-1102,565809.81,ABC Construction,2024-01-01,Success
W-1103,8936582.98,XYZ Builders,2024-01-01,Success
W-1104,2356751.66,PQR Engineering,2024-01-01,Success
W-1105,8369924.69,MNO Contractors,2024-01-01,Success
W-1106,5254536.26,MNO Contractors,2024-01-01,Success
W-1107,21090308.61,ABC Construction,2024-01-01,Success
W-1108,4868287.03,MNO Contractors,2024-01-01,Success
W-1109,14692077.84,PQR Engineering,2024-01-01,Success
W-1110,9430230.09,XYZ Builders,2024-01-01,Success
W-1113,6412857.24,MNO Contractors,2024-01-01,Success
W-1114,16911713.81,XYZ Builders,2024-01-01,Success
W-1116,9977644.55,XYZ Builders,2024-01-01,Success
W-1117,2103592.21,MNO Contractors,2024-01-01,Success
W-1118,8227184.32,XYZ Builders,2024-01-01,Success
W-1121,6158100.69,ABC Construction,2024-01-01,Success
W-1122,11242255.03,MNO Contractors,2024-01-01,Success
W-1123,2188282.6,ABC Construction,2024-01-01,Success
W-1130,9191502.73,ABC Construction,2024-01-01,Success
W-1131,18658819.2,XYZ Builders,2024-01-01,Success
W-1132,1186959.07,PQR Engineering,2024-01-01,Success
W-1135,32617222.6,XYZ Builders,2024-01-01,Success
W-1136,10838691.66,ABC Construction,2024-01-01,Success
W-1138,17723757.12,MNO Contractors,2024-01-01,Success
W-1139,4524302.36,ABC Construction,2024-01-01,Success
W-1144,19818302.86,XYZ Builders,2024-01-01,Success
W-1145,5003105.11,MNO Contractors,2024-01-01,Success
W-1147,4808794.82,MNO Contractors,2024-01-01,Success
W-1148,2783688.11,PQR Engineering,2024-01-01,Success
W-1150,3322169.57,PQR Engineering,2024-01-01,Success
W-1151,13391537.84,PQR Engineering,2024-01-01,Success
W-1152,5498117.81,XYZ Builders,2024-01-01,Success
W-1154,5502270.74,MNO Contractors,2024-01-01,Success
W-1155,13785066.45,MNO Contractors,2024-01-01,Success
W-1156,3860553.27,PQR Engineering,2024-01-01,Success
W-1158,10152109.65,MNO Contractors,2024-01-01,Success
W-1159,28977.84,XYZ Builders,2024-01-01,Success
W-1160,5471866.92,MNO Contractors,2024-01-01,Success
W-1162,3675210.62,PQR Engineering,2024-01-01,Success
W-1163,15808623.01,ABC Construction,2024-01-01,Success
W-1168,1330237.49,XYZ Builders,2024-01-01,Success
W-1169,684160.28,PQR Engineering,2024-01-01,Success
W-1170,3023619.71,PQR Engineering,2024-01-01,Success
W-1173,456599.25,PQR Engineering,2024-01-01,Success
W-1177,284911.24,PQR Engineering,2024-01-01,Success
W-1179,7274103.04,MNO Contractors,2024-01-01,Success
W-1180,7210484.48,ABC Construction,2024-01-01,Success
W-1186,21315935.06,XYZ Builders,2024-01-01,Success
W-1188,13793110.01,ABC Construction,2024-01-01,Success
W-1190,12513544.3,XYZ Builders,2024-01-01,Success
W-1192,5404474.03,PQR Engineering,2024-01-01,Success
W-1195,1147542.96,PQR Engineering,2024-01-01,Success
W-1196,6778867.13,MNO Contractors,2024-01-01,Success
W-1198,1423641.48,PQR Engineering,2024-01-01,Success
W-1201,53501.07,XYZ Builders,2024-01-01,Success
W-1206,1349700.24,XYZ Builders,2024-01-01,Success
W-1211,9558196.46,XYZ Builders,2024-01-01,Success
W-1212,554855.95,MNO Contractors,2024-01-01,Success
W-1214,10730836.18,MNO Contractors,2024-01-01,Success
W-1223,17252337.17,PQR Engineering,2024-01-01,Success
W-1226,14761765.46,XYZ Builders,2024-01-01,Success
W-1232,1728924.17,MNO Contractors,2024-01-01,Success
W-1235,12967832.3,PQR Engineering,2024-01-01,Success
W-1236,11324769.69,MNO Contractors,2024-01-01,Success
W-1241,18389156.54,ABC Construction,2024-01-01,Success
W-1242,1942952.12,PQR Engineering,2024-01-01,Success
W-1243,3257593.07,XYZ Builders,2024-01-01,Success
W-1247,233370.64,PQR Engineering,2024-01-01,Success
W-1251,6659314.46,XYZ Builders,2024-01-01,Success
W-1256,1203148.14,MNO Contractors,2024-01-01,Success
W-1257,14672563.9,PQR Engineering,2024-01-01,Success
W-1259,4344215.74,XYZ Builders,2024-01-01,Success
W-1260,1230815.49,MNO Contractors,2024-01-01,Success
W-1261,242569.46,XYZ Builders,2024-01-01,Success
W-1262,14206080.67,PQR Engineering,2024-01-01,Success
W-1263,16026753.38,PQR Engineering,2024-01-01,Success
W-1265,6865840.44,PQR Engineering,2024-01-01,Success
W-1266,12728916.37,ABC Construction,2024-01-01,Success
W-1267,5715236.41,ABC Construction,2024-01-01,Success
W-1268,11093562.81,MNO Contractors,2024-01-01,Success
W-1269,2973662.4,MNO Contractors,2024-01-01,Success
W-1271,5584319.06,XYZ Builders,2024-01-01,Success
W-1273,11623413.43,PQR Engineering,2024-01-01,Success
W-1276,13821042.0,ABC Construction,2024-01-01,Success
W-1279,14674759.89,PQR Engineering,2024-01-01,Success
W-1280,10749116.1,XYZ Builders,2024-01-01,Success
W-1283,13785465.16,MNO Contractors,2024-01-01,Success
W-1284,5413282.4,ABC Construction,2024-01-01,Success
W-1287,13181484.04,XYZ Builders,2024-01-01,Success
W-1288,10973128.08,MNO Contractors,2024-01-01,Success
W-1289,8866904.17,MNO Contractors,2024-01-01,Success
W-1290,14892023.76,PQR Engineering,2024-01-01,Success
W-1292,8207635.42,MNO Contractors,2024-01-01,Success
W-1293,4824871.17,ABC Construction,2024-01-01,Success
W-1294,7779362.84,MNO Contractors,2024-01-01,Success
W-1296,15995312.66,XYZ Builders,2024-01-01,Success
W-1298,6963271.33,PQR Engineering,2024-01-01,Success
W-1299,3293926.57,MNO Contractors,2024-01-01,Success
W-1300,12876014.76,ABC Construction,2024-01-01,Success
W-1301,6923533.79,ABC Construction,2024-01-01,Success
W-1303,13736681.08,MNO Contractors,2024-01-01,Success
W-1304,5230348.16,MNO Contractors,2024-01-01,Success
W-1306,15704563.48,MNO Contractors,2024-01-01,Success
W-1308,16345983.16,MNO Contractors,2024-01-01,Success
W-1310,14461471.45,PQR Engineering,2024-01-01,Success
W-1312,8686879.8,ABC Construction,2024-01-01,Success
W-1314,9003688.37,ABC Construction,2024-01-01,Success
W-1316,7916661.22,PQR Engineering,2024-01-01,Success
W-1317,7507636.84,PQR Engineering,2024-01-01,Success
W-1318,1144836.29,ABC Construction,2024-01-01,Success
W-1320,12720930.0,ABC Construction,2024-01-01,Success
W-1321,18731858.0,XYZ Builders,2024-01-01,Success
W-1322,2652562.47,MNO Contractors,2024-01-01,Success
W-1323,7732591.22,XYZ Builders,2024-01-01,Success
