unique_work_number,mp_name,state,constituency,work_name,work_category,recommended_amount,date_recommended,implementing_agency
W-1000,MP_19,Uttar Pradesh,Constituency_7,Construction of Education at location 459,Education,7007317.92,2023-03-29,PWD
W-1001,MP_25,Maharashtra,Constituency_12,Construction of Roads at location 475,Roads,8297288.95,2023-02-28,PWD
W-1002,MP_37,West Bengal,Constituency_3,Construction of Education at location 647,Education,9284735.41,2023-01-21,PWD
W-1003,MP_20,Bihar,Constituency_2,Construction of Health at location 367,Health,1170576.16,2023-09-21,PWD
W-1004,MP_36,Bihar,Constituency_10,Construction of Health at location 702,Health,16968410.05,2023-10-23,Gram Panchayat
W-1005,MP_9,Maharashtra,Constituency_7,Construction of Roads at location 648,Roads,16401497.85,2023-03-04,Gram Panchayat
W-1006,MP_48,Uttar Pradesh,Constituency_1,Construction of Sanitation at location 99,Sanitation,12932370.69,2023-06-21,PWD
W-1007,MP_15,West Bengal,Constituency_15,Construction of Drinking Water at location 554,Drinking Water,1112869.12,2023-06-28,Gram Panchayat
W-1008,MP_22,Uttar Pradesh,Constituency_19,Construction of Health at location 578,Health,16258347.4,2023-06-19,PWD
W-1009,MP_33,Bihar,Constituency_7,Construction of Roads at location 377,Roads,8828601.88,2023-10-10,Gram Panchayat
W-1010,MP_49,West Bengal,Constituency_9,Construction of Roads at location 442,Roads,5314083.23,2023-02-21,PWD
W-1011,MP_19,Kerala,Constituency_1,Construction of Drinking Water at location 53,Drinking Water,9231771.71,2023-06-21,Zila Parishad
W-1012,MP_6,West Bengal,Constituency_9,Construction of Sanitation at location 771,Sanitation,6856198.65,2023-05-28,Municipal Corporation
W-1013,MP_18,Maharashtra,Constituency_7,Construction of Roads at location 779,Roads,11058235.49,2023-05-31,Gram Panchayat
W-1014,MP_32,Uttar Pradesh,Constituency_5,Construction of Education at location 9,Education,7309586.7,2023-08-21,Municipal Corporation
W-1015,MP_25,Uttar Pradesh,Constituency_16,Construction of Education at location 153,Education,6036459.01,2023-12-15,Zila Parishad
W-1016,MP_7,Uttar Pradesh,Constituency_8,Construction of Education at location 401,Education,11582017.77,2023-05-08,PWD
W-1017,MP_27,Kerala,Constituency_8,Construction of Education at location 226,Education,10301423.32,2023-10-04,Municipal Corporation
W-1018,MP_28,Maharashtra,Constituency_12,Construction of Sanitation at location 46,Sanitation,7718094.65,2023-01-06,PWD
W-1019,MP_3,West Bengal,Constituency_1,Construction of Drinking Water at location 793,Drinking Water,16962156.24,2023-08-11,Municipal Corporation
W-1020,MP_33,Bihar,Constituency_8,Construction of Roads at location 811,Roads,7510077.45,2023-09-03,Municipal Corporation
W-1021,MP_46,Uttar Pradesh,Constituency_8,Construction of Health at location 883,Health,7823867.58,2023-05-23,Municipal Corporation
W-1022,MP_42,Kerala,Constituency_17,Construction of Education at location 444,Education,10683743.57,2023-04-11,Zila Parishad
W-1023,MP_16,West Bengal,Constituency_8,Construction of Sanitation at location 370,Sanitation,14434604.53,2023-05-04,Zila Parishad
W-1024,MP_12,Bihar,Constituency_9,Construction of Sanitation at location 641,Sanitation,18346667.69,2023-02-27,Municipal Corporation
W-1025,MP_12,Kerala,Constituency_3,Construction of Drinking Water at location 656,Drinking Water,780673.03,2023-03-27,Trust
W-1026,MP_33,Kerala,Constituency_4,Construction of Sanitation at location 23,Sanitation,12509076.91,2023-09-07,PWD
W-1027,MP_24,Kerala,Constituency_16,Construction of Drinking Water at location 497,Drinking Water,18834489.71,2023-06-09,Gram Panchayat
W-1028,MP_43,Maharashtra,Constituency_10,Construction of Health at location 285,Health,2465171.03,2023-01-12,Municipal Corporation
W-1029,MP_41,Kerala,Constituency_19,Construction of Health at location 826,Health,12764385.51,2023-04-24,Gram Panchayat
W-1030,MP_36,Maharashtra,Constituency_16,Construction of Drinking Water at location 999,Drinking Water,7145669.03,2023-04-06,Gram Panchayat
W-1031,MP_25,Maharashtra,Constituency_16,Construction of Sanitation at location 699,Sanitation,8089432.74,2023-01-19,Gram Panchayat
W-1032,MP_16,Uttar Pradesh,Constituency_15,Construction of Sanitation at location 69,Sanitation,12247598.06,2023-04-09,Gram Panchayat
