unique_work_number,sanction_amount,sanction_date,work_status,implementing_agency,district
W-1000,6335434.55,2022-06-14,In Progress,PWD,District_8
W-1003,1096182.79,2023-11-05,In Progress,PWD,District_5
W-1004,17262815.92,2023-02-27,In Progress,Gram Panchayat,District_2
W-1005,17353360.55,2023-04-17,In Progress,Gram Panchayat,District_9
W-1006,12629564.08,2022-11-07,In Progress,PWD,District_2
W-1007,1126952.61,2023-08-28,Completed,Gram Panchayat,District_9
W-1008,16117012.19,2023-07-04,Delayed,PWD,District_7
W-1009,7958017.21,2023-10-22,Completed,Gram Panchayat,District_7
W-1010,5102453.38,2023-03-05,Completed,PWD,District_6
W-1011,8457878.43,2023-09-06,Completed,Zila Parishad,District_1
W-1012,6872781.13,2023-09-04,Delayed,Municipal Corporation,District_1
W-1013,11412063.74,2023-06-16,Completed,Gram Panchayat,District_8
W-1014,7830503.36,2023-09-02,Completed,Municipal Corporation,District_5
W-1015,6268132.51,2024-02-28,Completed,Zila Parishad,District_3
W-1017,11051712.17,2023-12-16,Delayed,Municipal Corporation,District_3
W-1019,15595605.19,2023-10-05,In Progress,Municipal Corporation,District_1
W-1020,7975872.57,2023-10-08,Completed,Municipal Corporation,District_1
W-1022,10592429.96,2023-04-25,Delayed,Zila Parishad,District_6
W-1024,17182997.26,2022-03-21,In Progress,Municipal Corporation,District_5
W-1025,15000000.0,2023-06-13,In Progress,Trust,District_7
W-1026,11910876.9,2023-10-20,Not Started,PWD,District_7
W-1027,19110855.87,2023-08-07,Completed,Gram Panchayat,District_4
W-1029,12554911.81,2022-08-12,In Progress,Gram Panchayat,District_2
W-1030,6772088.97,2023-05-22,Not Started,Gram Panchayat,District_3
W-1032,12865794.42,2023-07-12,Completed,Gram Panchayat,District_3
W-1033,2970347.89,2024-02-18,In Progress,Gram Panchayat,District_5
W-1034,12575880.72,2023-02-03,In Progress,Zila Parishad,District_2
W-1035,2617760.08,2023-02-10,Delayed,Zila Parishad,District_6
W-1036,8916541.38,2023-08-12,In Progress,Gram Panchayat,District_7
W-1037,20160959.14,2023-07-24,Completed,Municipal Corporation,District_6
W-1038,3697048.95,2023-01-25,Delayed,Gram Panchayat,District_8
W-1039,6156764.09,2022-08-17,In Progress,Gram Panchayat,District_6
W-1040,15277111.0,2023-12-13,Completed,Municipal Corporation,District_8
W-1041,15377864.74,2023-01-20,Completed,PWD,District_9
W-1042,4129436.05,2023-09-03,Not Started,PWD,District_9
W-1043,15687108.81,2023-10-05,In Progress,Municipal Corporation,District_2
W-1044,9116456.23,2024-01-31,Not Started,Zila Parishad,District_2
W-1045,18416701.49,2022-10-23,In Progress,PWD,District_3
W-1046,4329640.22,2023-02-11,Completed,Gram Panchayat,District_3
W-1047,2098741.9,2023-02-12,In Progress,Municipal Corporation,District_5
W-1048,1550502.19,2023-02-27,Delayed,Municipal Corporation,District_6
W-1049,1260815.75,2023-06-19,Not Started,Municipal Corporation,District_7
W-1050,860634.99,2023-05-03,Completed,Gram Panchayat,District_6
W-1051,11421208.51,2023-11-11,In Progress,Municipal Corporation,District_2
W-1052,4859651.79,2023-06-03,Delayed,Municipal Corporation,District_9
W-1053,19298548.86,2023-11-03,Completed,PWD,District_3
W-1054,19405375.86,2024-02-23,Not Started,Gram Panchayat,District_8
W-1055,10275257.12,2023-07-16,In Progress,Municipal Corporation,District_4
W-1056,16365601.47,2024-02-06,Not Started,Gram Panchayat,District_8
W-1057,3496163.16,2023-11-26,In Progress,Gram Panchayat,District_8
W-1058,16477918.23,2023-08-20,Not Started,Municipal Corporation,District_6
W-1059,18651050.13,2023-02-20,Completed,Municipal Corporation,District_7
W-1060,6996809.83,2024-01-05,Delayed,Zila Parishad,District_6
W-1061,11565529.81,2023-05-10,Not Started,PWD,District_4
W-1062,18522084.7,2023-06-30,Not Started,PWD,District_8
W-1063,8669813.35,2023-10-24,Not Started,Gram Panchayat,District_9
W-1064,4358662.26,2023-06-21,Completed,PWD,District_8
W-1065,3029515.52,2023-11-27,Completed,Municipal Corporation,District_2
W-1066,3736690.67,2024-03-08,Completed,PWD,District_2
W-1067,15730447.95,2023-11-28,In Progress,Municipal Corporation,District_1
W-1069,2726181.45,2024-02-08,Delayed,PWD,District_9
W-1070,2003896.44,2023-12-24,Completed,PWD,District_4
W-1071,7138869.86,2023-10-06,Delayed,PWD,District_2
W-1072,10773039.66,2023-07-09,In Progress,PWD,District_8
W-1073,15000000.0,2024-01-19,In Progress,Trust,District_2
W-1074,14378954.61,2023-10-18,In Progress,Zila Parishad,District_9
W-1075,8445736.14,2023-03-15,Not Started,PWD,District_1
W-1076,17826044.15,2023-11-05,Completed,Gram Panchayat,District_8
W-1077,530447.09,2023-09-07,Not Started,Gram Panchayat,District_9
W-1078,18430232.01,2023-04-20,Delayed,PWD,District_9
W-1080,4633812.33,2023-07-24,In Progress,Municipal Corporation,District_7
W-1081,18555725.7,2023-07-16,Not Started,Zila Parishad,District_8
W-1083,9407452.06,2024-01-18,In Progress,Municipal Corporation,District_2
W-1085,5970995.29,2022-03-15,In Progress,PWD,District_9
W-1086,4543398.12,2023-05-26,Completed,Municipal Corporation,District_7
W-1087,12774200.93,2023-05-23,Delayed,Municipal Corporation,District_6
W-1088,2180281.48,2024-03-08,Not Started,Gram Panchayat,District_8
W-1089,8796175.59,2023-11-03,In Progress,Zila Parishad,District_9
W-1090,12442705.03,2024-01-18,Completed,PWD,District_1
W-1091,14661874.98,2023-04-27,Completed,PWD,District_1
W-1092,15700046.69,2023-11-02,Not Started,Gram Panchayat,District_5
W-1093,9165523.38,2022-03-17,In Progress,Zila Parishad,District_8
W-1095,6473296.42,2023-04-03,In Progress,Gram Panchayat,District_4
W-1097,7942695.3,2023-04-06,In Progress,Gram Panchayat,District_8
W-1098,17795144.06,2023-02-22,Not Started,PWD,District_8
W-1099,11997782.71,2023-10-26,Completed,PWD,District_5
W-1100,9521317.0,2023-06-12,Delayed,Municipal Corporation,District_8
W-1101,2364087.31,2023-08-22,In Progress,Gram Panchayat,District_6
W-1102,2226349.83,2023-06-01,In Progress,PWD,District_1
W-1104,11135359.74,2023-08-31,Delayed,PWD,District_4
W-1105,17395419.94,2023-03-30,Completed,Municipal Corporation,District_6
W-1106,19131022.16,2024-01-30,In Progress,Gram Panchayat,District_6
W-1107,10507246.36,2023-03-21,Completed,Zila Parishad,District_8
W-1108,18772361.08,2023-08-01,Not Started,PWD,District_6
W-1109,2406281.02,2023-12-07,In Progress,Gram Panchayat,District_2
W-1110,20901187.23,2023-07-03,Delayed,PWD,District_2
W-1111,18539001.39,2023-09-21,Not Started,Gram Panchayat,District_9
W-1112,1468553.72,2023-12-29,Not Started,PWD,District_1
W-1113,3518878.69,2023-04-19,Completed,Gram Panchayat,District_5
W-1114,7115955.02,2023-05-23,Delayed,Gram Panchayat,District_2
W-1115,19365910.7,2023-07-29,Delayed,Municipal Corporation,District_6
W-1116,12929244.99,2023-05-24,Completed,Gram Panchayat,District_1
W-1117,7429210.49,2023-06-30,Not Started,Municipal Corporation,District_9
